campaign_id,objective,target_audience,active_message,channel
CAM201,Re-engage inactive customers,Customers with no purchase in 60 days,Come back and see what is new while enjoying a familiar favourite. Use the message link to view the current offer.,Email
CAM202,Re-engage inactive customers,Customers with no purchase in 60 days,Rediscover an easy meal option with a return visit this month. See today's options in our latest post.,Instagram
CAM203,Re-engage inactive customers,Customers with no purchase in 60 days,Your next convenient meal is waiting whenever you are ready to return. Check the current offer and plan your next meal.,Facebook
CAM204,Re-engage inactive customers,Customers with no purchase in 60 days,Reconnect with the menu through a simple returning-customer offer. Open the menu to customise and place your order.,Website/App
CAM205,Re-engage inactive customers,Customers with no purchase in 60 days,Come back and see what is new while enjoying a familiar favourite. Find the current bundle in the delivery menu.,Delivery App
CAM206,Re-engage inactive customers,Customers with no purchase in 90 days,Rediscover an easy meal option with a return visit this month. Use the message link to view the current offer.,Email
CAM207,Re-engage inactive customers,Customers with no purchase in 90 days,Your next convenient meal is waiting whenever you are ready to return. See today's options in our latest post.,Instagram
CAM208,Re-engage inactive customers,Customers with no purchase in 90 days,Reconnect with the menu through a simple returning-customer offer. Check the current offer and plan your next meal.,Facebook
CAM209,Re-engage inactive customers,Customers with no purchase in 90 days,Come back and see what is new while enjoying a familiar favourite. Open the menu to customise and place your order.,Website/App
CAM210,Re-engage inactive customers,Customers with no purchase in 90 days,Rediscover an easy meal option with a return visit this month. Find the current bundle in the delivery menu.,Delivery App
CAM211,Re-engage inactive customers,Inactive loyalty members,Your next convenient meal is waiting whenever you are ready to return. Use the message link to view the current offer.,Email
CAM212,Re-engage inactive customers,Inactive loyalty members,Reconnect with the menu through a simple returning-customer offer. See today's options in our latest post.,Instagram
CAM213,Re-engage inactive customers,Inactive loyalty members,Come back and see what is new while enjoying a familiar favourite. Check the current offer and plan your next meal.,Facebook
CAM214,Re-engage inactive customers,Inactive loyalty members,Rediscover an easy meal option with a return visit this month. Open the menu to customise and place your order.,Website/App
CAM215,Re-engage inactive customers,Inactive loyalty members,Your next convenient meal is waiting whenever you are ready to return. Find the current bundle in the delivery menu.,Delivery App
CAM216,Re-engage inactive customers,Past delivery customers who have stopped ordering,Reconnect with the menu through a simple returning-customer offer. Use the message link to view the current offer.,Email
CAM217,Re-engage inactive customers,Past delivery customers who have stopped ordering,Come back and see what is new while enjoying a familiar favourite. See today's options in our latest post.,Instagram
CAM218,Re-engage inactive customers,Past delivery customers who have stopped ordering,Rediscover an easy meal option with a return visit this month. Check the current offer and plan your next meal.,Facebook
CAM219,Re-engage inactive customers,Past delivery customers who have stopped ordering,Your next convenient meal is waiting whenever you are ready to return. Open the menu to customise and place your order.,Website/App
CAM220,Re-engage inactive customers,Past delivery customers who have stopped ordering,Reconnect with the menu through a simple returning-customer offer. Find the current bundle in the delivery menu.,Delivery App
CAM221,Drive first-time trials,University students who have not purchased before,Try your first meal with a simple entry offer and flexible choices. See today's options in our latest post.,Instagram
CAM222,Drive first-time trials,University students who have not purchased before,"Discover an easy everyday meal that combines convenience, flavour and value. Watch the short menu feature and choose your next order.",TikTok
CAM223,Drive first-time trials,University students who have not purchased before,See why customers choose us for quick meals by starting with a first-time bundle. Check the current offer and plan your next meal.,Facebook
CAM224,Drive first-time trials,University students who have not purchased before,Make your first visit easy with a straightforward meal option designed for newcomers. Open the menu to customise and place your order.,Website/App
CAM225,Drive first-time trials,University students who have not purchased before,Try your first meal with a simple entry offer and flexible choices. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM226,Drive first-time trials,Nearby office workers unfamiliar with the brand,"Discover an easy everyday meal that combines convenience, flavour and value. See today's options in our latest post.",Instagram
CAM227,Drive first-time trials,Nearby office workers unfamiliar with the brand,See why customers choose us for quick meals by starting with a first-time bundle. Watch the short menu feature and choose your next order.,TikTok
CAM228,Drive first-time trials,Nearby office workers unfamiliar with the brand,Make your first visit easy with a straightforward meal option designed for newcomers. Check the current offer and plan your next meal.,Facebook
CAM229,Drive first-time trials,Nearby office workers unfamiliar with the brand,Try your first meal with a simple entry offer and flexible choices. Open the menu to customise and place your order.,Website/App
CAM230,Drive first-time trials,Nearby office workers unfamiliar with the brand,"Discover an easy everyday meal that combines convenience, flavour and value. Look for the offer at the counter or self-ordering kiosk.",In-store
CAM231,Drive first-time trials,Young adults discovering the brand on social media,See why customers choose us for quick meals by starting with a first-time bundle. See today's options in our latest post.,Instagram
CAM232,Drive first-time trials,Young adults discovering the brand on social media,Make your first visit easy with a straightforward meal option designed for newcomers. Watch the short menu feature and choose your next order.,TikTok
CAM233,Drive first-time trials,Young adults discovering the brand on social media,Try your first meal with a simple entry offer and flexible choices. Check the current offer and plan your next meal.,Facebook
CAM234,Drive first-time trials,Young adults discovering the brand on social media,"Discover an easy everyday meal that combines convenience, flavour and value. Open the menu to customise and place your order.",Website/App
CAM235,Drive first-time trials,Young adults discovering the brand on social media,See why customers choose us for quick meals by starting with a first-time bundle. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM236,Drive first-time trials,New residents within the outlet catchment area,Make your first visit easy with a straightforward meal option designed for newcomers. See today's options in our latest post.,Instagram
CAM237,Drive first-time trials,New residents within the outlet catchment area,Try your first meal with a simple entry offer and flexible choices. Watch the short menu feature and choose your next order.,TikTok
CAM238,Drive first-time trials,New residents within the outlet catchment area,"Discover an easy everyday meal that combines convenience, flavour and value. Check the current offer and plan your next meal.",Facebook
CAM239,Drive first-time trials,New residents within the outlet catchment area,See why customers choose us for quick meals by starting with a first-time bundle. Open the menu to customise and place your order.,Website/App
CAM240,Drive first-time trials,New residents within the outlet catchment area,Make your first visit easy with a straightforward meal option designed for newcomers. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM241,Increase average order value,Customers ordering a single main item,Turn your main into a more complete meal with an easy side-and-drink add-on. See today's options in our latest post.,Instagram
CAM242,Increase average order value,Customers ordering a single main item,Bundle your order for better overall value and a more satisfying meal. Use the message link to view the current offer.,Email
CAM243,Increase average order value,Customers ordering a single main item,Add a small extra to create a fuller meal without complicating the order. Open the menu to customise and place your order.,Website/App
CAM244,Increase average order value,Customers ordering a single main item,Complete your order with complementary sides and drinks selected for convenience. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM245,Increase average order value,Customers ordering a single main item,Turn your main into a more complete meal with an easy side-and-drink add-on. Find the current bundle in the delivery menu.,Delivery App
CAM246,Increase average order value,Delivery customers ordering for one person,Bundle your order for better overall value and a more satisfying meal. See today's options in our latest post.,Instagram
CAM247,Increase average order value,Delivery customers ordering for one person,Add a small extra to create a fuller meal without complicating the order. Use the message link to view the current offer.,Email
CAM248,Increase average order value,Delivery customers ordering for one person,Complete your order with complementary sides and drinks selected for convenience. Open the menu to customise and place your order.,Website/App
CAM249,Increase average order value,Delivery customers ordering for one person,Turn your main into a more complete meal with an easy side-and-drink add-on. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM250,Increase average order value,Delivery customers ordering for one person,Bundle your order for better overall value and a more satisfying meal. Find the current bundle in the delivery menu.,Delivery App
CAM251,Increase average order value,Dine-in customers buying lunch sets,Add a small extra to create a fuller meal without complicating the order. See today's options in our latest post.,Instagram
CAM252,Increase average order value,Dine-in customers buying lunch sets,Complete your order with complementary sides and drinks selected for convenience. Use the message link to view the current offer.,Email
CAM253,Increase average order value,Dine-in customers buying lunch sets,Turn your main into a more complete meal with an easy side-and-drink add-on. Open the menu to customise and place your order.,Website/App
CAM254,Increase average order value,Dine-in customers buying lunch sets,Bundle your order for better overall value and a more satisfying meal. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM255,Increase average order value,Dine-in customers buying lunch sets,Add a small extra to create a fuller meal without complicating the order. Find the current bundle in the delivery menu.,Delivery App
CAM256,Increase average order value,Couples placing combined orders,Complete your order with complementary sides and drinks selected for convenience. See today's options in our latest post.,Instagram
CAM257,Increase average order value,Couples placing combined orders,Turn your main into a more complete meal with an easy side-and-drink add-on. Use the message link to view the current offer.,Email
CAM258,Increase average order value,Couples placing combined orders,Bundle your order for better overall value and a more satisfying meal. Open the menu to customise and place your order.,Website/App
CAM259,Increase average order value,Couples placing combined orders,Add a small extra to create a fuller meal without complicating the order. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM260,Increase average order value,Couples placing combined orders,Complete your order with complementary sides and drinks selected for convenience. Find the current bundle in the delivery menu.,Delivery App
CAM261,Increase beverage attachment rate,Dine-in lunch customers,Add a refreshing drink to round out your meal with one simple upgrade. See today's options in our latest post.,Instagram
CAM262,Increase beverage attachment rate,Dine-in lunch customers,Pair your food with a beverage for a more complete order. Open the menu to customise and place your order.,Website/App
CAM263,Increase beverage attachment rate,Dine-in lunch customers,Make the meal feel complete with an easy drink add-on at checkout. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM264,Increase beverage attachment rate,Dine-in lunch customers,Choose a beverage alongside your meal for added convenience and value. Find the current bundle in the delivery menu.,Delivery App
CAM265,Increase beverage attachment rate,Dine-in lunch customers,Add a refreshing drink to round out your meal with one simple upgrade. Check the current offer and plan your next meal.,Facebook
CAM266,Increase beverage attachment rate,Takeaway customers ordering spicy meals,Pair your food with a beverage for a more complete order. See today's options in our latest post.,Instagram
CAM267,Increase beverage attachment rate,Takeaway customers ordering spicy meals,Make the meal feel complete with an easy drink add-on at checkout. Open the menu to customise and place your order.,Website/App
CAM268,Increase beverage attachment rate,Takeaway customers ordering spicy meals,Choose a beverage alongside your meal for added convenience and value. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM269,Increase beverage attachment rate,Takeaway customers ordering spicy meals,Add a refreshing drink to round out your meal with one simple upgrade. Find the current bundle in the delivery menu.,Delivery App
CAM270,Increase beverage attachment rate,Takeaway customers ordering spicy meals,Pair your food with a beverage for a more complete order. Check the current offer and plan your next meal.,Facebook
CAM271,Increase beverage attachment rate,Afternoon snack customers,Make the meal feel complete with an easy drink add-on at checkout. See today's options in our latest post.,Instagram
CAM272,Increase beverage attachment rate,Afternoon snack customers,Choose a beverage alongside your meal for added convenience and value. Open the menu to customise and place your order.,Website/App
CAM273,Increase beverage attachment rate,Afternoon snack customers,Add a refreshing drink to round out your meal with one simple upgrade. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM274,Increase beverage attachment rate,Afternoon snack customers,Pair your food with a beverage for a more complete order. Find the current bundle in the delivery menu.,Delivery App
CAM275,Increase beverage attachment rate,Afternoon snack customers,Make the meal feel complete with an easy drink add-on at checkout. Check the current offer and plan your next meal.,Facebook
CAM276,Increase beverage attachment rate,Delivery customers ordering meal bundles,Choose a beverage alongside your meal for added convenience and value. See today's options in our latest post.,Instagram
CAM277,Increase beverage attachment rate,Delivery customers ordering meal bundles,Add a refreshing drink to round out your meal with one simple upgrade. Open the menu to customise and place your order.,Website/App
CAM278,Increase beverage attachment rate,Delivery customers ordering meal bundles,Pair your food with a beverage for a more complete order. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM279,Increase beverage attachment rate,Delivery customers ordering meal bundles,Make the meal feel complete with an easy drink add-on at checkout. Find the current bundle in the delivery menu.,Delivery App
CAM280,Increase beverage attachment rate,Delivery customers ordering meal bundles,Choose a beverage alongside your meal for added convenience and value. Check the current offer and plan your next meal.,Facebook
CAM281,Increase snack and side attachment,Afternoon customers looking for a light bite,Add a quick side when you want a little more without ordering another full meal. See today's options in our latest post.,Instagram
CAM282,Increase snack and side attachment,Afternoon customers looking for a light bite,Round out your order with a simple snack or side that is easy to share. Watch the short menu feature and choose your next order.,TikTok
CAM283,Increase snack and side attachment,Afternoon customers looking for a light bite,Turn a light meal into something more satisfying with one small extra. Open the menu to customise and place your order.,Website/App
CAM284,Increase snack and side attachment,Afternoon customers looking for a light bite,Choose an add-on that complements your main and gives the group more variety. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM285,Increase snack and side attachment,Afternoon customers looking for a light bite,Add a quick side when you want a little more without ordering another full meal. Find the current bundle in the delivery menu.,Delivery App
CAM286,Increase snack and side attachment,Customers ordering only a main item,Round out your order with a simple snack or side that is easy to share. See today's options in our latest post.,Instagram
CAM287,Increase snack and side attachment,Customers ordering only a main item,Turn a light meal into something more satisfying with one small extra. Watch the short menu feature and choose your next order.,TikTok
CAM288,Increase snack and side attachment,Customers ordering only a main item,Choose an add-on that complements your main and gives the group more variety. Open the menu to customise and place your order.,Website/App
CAM289,Increase snack and side attachment,Customers ordering only a main item,Add a quick side when you want a little more without ordering another full meal. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM290,Increase snack and side attachment,Customers ordering only a main item,Round out your order with a simple snack or side that is easy to share. Find the current bundle in the delivery menu.,Delivery App
CAM291,Increase snack and side attachment,Students sharing snacks between classes,Turn a light meal into something more satisfying with one small extra. See today's options in our latest post.,Instagram
CAM292,Increase snack and side attachment,Students sharing snacks between classes,Choose an add-on that complements your main and gives the group more variety. Watch the short menu feature and choose your next order.,TikTok
CAM293,Increase snack and side attachment,Students sharing snacks between classes,Add a quick side when you want a little more without ordering another full meal. Open the menu to customise and place your order.,Website/App
CAM294,Increase snack and side attachment,Students sharing snacks between classes,Round out your order with a simple snack or side that is easy to share. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM295,Increase snack and side attachment,Students sharing snacks between classes,Turn a light meal into something more satisfying with one small extra. Find the current bundle in the delivery menu.,Delivery App
CAM296,Increase snack and side attachment,Families adding extras to group orders,Choose an add-on that complements your main and gives the group more variety. See today's options in our latest post.,Instagram
CAM297,Increase snack and side attachment,Families adding extras to group orders,Add a quick side when you want a little more without ordering another full meal. Watch the short menu feature and choose your next order.,TikTok
CAM298,Increase snack and side attachment,Families adding extras to group orders,Round out your order with a simple snack or side that is easy to share. Open the menu to customise and place your order.,Website/App
CAM299,Increase snack and side attachment,Families adding extras to group orders,Turn a light meal into something more satisfying with one small extra. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM300,Increase snack and side attachment,Families adding extras to group orders,Choose an add-on that complements your main and gives the group more variety. Find the current bundle in the delivery menu.,Delivery App
CAM301,Promote healthier choices,Health-conscious adults aged 20-45,Choose a balanced meal with wholesome ingredients and flexible portions. See today's options in our latest post.,Instagram
CAM302,Promote healthier choices,Health-conscious adults aged 20-45,Make a lighter choice without giving up convenience or satisfying flavour. Watch the short menu feature and choose your next order.,TikTok
CAM303,Promote healthier choices,Health-conscious adults aged 20-45,"Build a meal around vegetables, protein and practical everyday nutrition. Check the current offer and plan your next meal.",Facebook
CAM304,Promote healthier choices,Health-conscious adults aged 20-45,Keep lunch balanced with customisable options that fit different dietary goals. Open the menu to customise and place your order.,Website/App
CAM305,Promote healthier choices,Health-conscious adults aged 20-45,Choose a balanced meal with wholesome ingredients and flexible portions. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM306,Promote healthier choices,Customers tracking balanced meals,Make a lighter choice without giving up convenience or satisfying flavour. See today's options in our latest post.,Instagram
CAM307,Promote healthier choices,Customers tracking balanced meals,"Build a meal around vegetables, protein and practical everyday nutrition. Watch the short menu feature and choose your next order.",TikTok
CAM308,Promote healthier choices,Customers tracking balanced meals,Keep lunch balanced with customisable options that fit different dietary goals. Check the current offer and plan your next meal.,Facebook
CAM309,Promote healthier choices,Customers tracking balanced meals,Choose a balanced meal with wholesome ingredients and flexible portions. Open the menu to customise and place your order.,Website/App
CAM310,Promote healthier choices,Customers tracking balanced meals,Make a lighter choice without giving up convenience or satisfying flavour. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM311,Promote healthier choices,Office workers seeking lighter lunches,"Build a meal around vegetables, protein and practical everyday nutrition. See today's options in our latest post.",Instagram
CAM312,Promote healthier choices,Office workers seeking lighter lunches,Keep lunch balanced with customisable options that fit different dietary goals. Watch the short menu feature and choose your next order.,TikTok
CAM313,Promote healthier choices,Office workers seeking lighter lunches,Choose a balanced meal with wholesome ingredients and flexible portions. Check the current offer and plan your next meal.,Facebook
CAM314,Promote healthier choices,Office workers seeking lighter lunches,Make a lighter choice without giving up convenience or satisfying flavour. Open the menu to customise and place your order.,Website/App
CAM315,Promote healthier choices,Office workers seeking lighter lunches,"Build a meal around vegetables, protein and practical everyday nutrition. Look for the offer at the counter or self-ordering kiosk.",In-store
CAM316,Promote healthier choices,Parents looking for balanced family options,Keep lunch balanced with customisable options that fit different dietary goals. See today's options in our latest post.,Instagram
CAM317,Promote healthier choices,Parents looking for balanced family options,Choose a balanced meal with wholesome ingredients and flexible portions. Watch the short menu feature and choose your next order.,TikTok
CAM318,Promote healthier choices,Parents looking for balanced family options,Make a lighter choice without giving up convenience or satisfying flavour. Check the current offer and plan your next meal.,Facebook
CAM319,Promote healthier choices,Parents looking for balanced family options,"Build a meal around vegetables, protein and practical everyday nutrition. Open the menu to customise and place your order.",Website/App
CAM320,Promote healthier choices,Parents looking for balanced family options,Keep lunch balanced with customisable options that fit different dietary goals. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM321,Promote protein-forward meals,Gym-goers after training,Build a protein-forward meal that supports an active routine and keeps you satisfied. See today's options in our latest post.,Instagram
CAM322,Promote protein-forward meals,Gym-goers after training,Choose a filling combination with a stronger protein focus and flexible add-ons. Watch the short menu feature and choose your next order.,TikTok
CAM323,Promote protein-forward meals,Gym-goers after training,Refuel with a convenient meal built around satisfying protein options. Check the current offer and plan your next meal.,Facebook
CAM324,Promote protein-forward meals,Gym-goers after training,Make protein the centre of your next meal without sacrificing speed or choice. Open the menu to customise and place your order.,Website/App
CAM325,Promote protein-forward meals,Gym-goers after training,Build a protein-forward meal that supports an active routine and keeps you satisfied. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM326,Promote protein-forward meals,Young adults focused on high-protein meals,Choose a filling combination with a stronger protein focus and flexible add-ons. See today's options in our latest post.,Instagram
CAM327,Promote protein-forward meals,Young adults focused on high-protein meals,Refuel with a convenient meal built around satisfying protein options. Watch the short menu feature and choose your next order.,TikTok
CAM328,Promote protein-forward meals,Young adults focused on high-protein meals,Make protein the centre of your next meal without sacrificing speed or choice. Check the current offer and plan your next meal.,Facebook
CAM329,Promote protein-forward meals,Young adults focused on high-protein meals,Build a protein-forward meal that supports an active routine and keeps you satisfied. Open the menu to customise and place your order.,Website/App
CAM330,Promote protein-forward meals,Young adults focused on high-protein meals,Choose a filling combination with a stronger protein focus and flexible add-ons. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM331,Promote protein-forward meals,Office workers seeking filling lunches,Refuel with a convenient meal built around satisfying protein options. See today's options in our latest post.,Instagram
CAM332,Promote protein-forward meals,Office workers seeking filling lunches,Make protein the centre of your next meal without sacrificing speed or choice. Watch the short menu feature and choose your next order.,TikTok
CAM333,Promote protein-forward meals,Office workers seeking filling lunches,Build a protein-forward meal that supports an active routine and keeps you satisfied. Check the current offer and plan your next meal.,Facebook
CAM334,Promote protein-forward meals,Office workers seeking filling lunches,Choose a filling combination with a stronger protein focus and flexible add-ons. Open the menu to customise and place your order.,Website/App
CAM335,Promote protein-forward meals,Office workers seeking filling lunches,Refuel with a convenient meal built around satisfying protein options. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM336,Promote protein-forward meals,Customers choosing meals for active lifestyles,Make protein the centre of your next meal without sacrificing speed or choice. See today's options in our latest post.,Instagram
CAM337,Promote protein-forward meals,Customers choosing meals for active lifestyles,Build a protein-forward meal that supports an active routine and keeps you satisfied. Watch the short menu feature and choose your next order.,TikTok
CAM338,Promote protein-forward meals,Customers choosing meals for active lifestyles,Choose a filling combination with a stronger protein focus and flexible add-ons. Check the current offer and plan your next meal.,Facebook
CAM339,Promote protein-forward meals,Customers choosing meals for active lifestyles,Refuel with a convenient meal built around satisfying protein options. Open the menu to customise and place your order.,Website/App
CAM340,Promote protein-forward meals,Customers choosing meals for active lifestyles,Make protein the centre of your next meal without sacrificing speed or choice. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM341,Promote plant-based options,Flexitarian diners,Enjoy a satisfying meat-free meal with familiar flavour and everyday convenience. See today's options in our latest post.,Instagram
CAM342,Promote plant-based options,Flexitarian diners,Try a plant-based choice that makes eating meat-free simple and approachable. Watch the short menu feature and choose your next order.,TikTok
CAM343,Promote plant-based options,Flexitarian diners,Choose a lighter plant-based option without giving up variety or satisfaction. Check the current offer and plan your next meal.,Facebook
CAM344,Promote plant-based options,Flexitarian diners,Explore a meat-free meal designed for customers who want more flexible food choices. Open the menu to customise and place your order.,Website/App
CAM345,Promote plant-based options,Flexitarian diners,Enjoy a satisfying meat-free meal with familiar flavour and everyday convenience. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM346,Promote plant-based options,Vegetarian customers,Try a plant-based choice that makes eating meat-free simple and approachable. See today's options in our latest post.,Instagram
CAM347,Promote plant-based options,Vegetarian customers,Choose a lighter plant-based option without giving up variety or satisfaction. Watch the short menu feature and choose your next order.,TikTok
CAM348,Promote plant-based options,Vegetarian customers,Explore a meat-free meal designed for customers who want more flexible food choices. Check the current offer and plan your next meal.,Facebook
CAM349,Promote plant-based options,Vegetarian customers,Enjoy a satisfying meat-free meal with familiar flavour and everyday convenience. Open the menu to customise and place your order.,Website/App
CAM350,Promote plant-based options,Vegetarian customers,Try a plant-based choice that makes eating meat-free simple and approachable. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM351,Promote plant-based options,Environmentally conscious young adults,Choose a lighter plant-based option without giving up variety or satisfaction. See today's options in our latest post.,Instagram
CAM352,Promote plant-based options,Environmentally conscious young adults,Explore a meat-free meal designed for customers who want more flexible food choices. Watch the short menu feature and choose your next order.,TikTok
CAM353,Promote plant-based options,Environmentally conscious young adults,Enjoy a satisfying meat-free meal with familiar flavour and everyday convenience. Check the current offer and plan your next meal.,Facebook
CAM354,Promote plant-based options,Environmentally conscious young adults,Try a plant-based choice that makes eating meat-free simple and approachable. Open the menu to customise and place your order.,Website/App
CAM355,Promote plant-based options,Environmentally conscious young adults,Choose a lighter plant-based option without giving up variety or satisfaction. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM356,Promote plant-based options,Health-conscious customers reducing meat intake,Explore a meat-free meal designed for customers who want more flexible food choices. See today's options in our latest post.,Instagram
CAM357,Promote plant-based options,Health-conscious customers reducing meat intake,Enjoy a satisfying meat-free meal with familiar flavour and everyday convenience. Watch the short menu feature and choose your next order.,TikTok
CAM358,Promote plant-based options,Health-conscious customers reducing meat intake,Try a plant-based choice that makes eating meat-free simple and approachable. Check the current offer and plan your next meal.,Facebook
CAM359,Promote plant-based options,Health-conscious customers reducing meat intake,Choose a lighter plant-based option without giving up variety or satisfaction. Open the menu to customise and place your order.,Website/App
CAM360,Promote plant-based options,Health-conscious customers reducing meat intake,Explore a meat-free meal designed for customers who want more flexible food choices. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM361,Promote meal customisation,Customers with mixed dietary preferences,"Build the meal your way by choosing the base, protein, toppings and sauce. See today's options in our latest post.",Instagram
CAM362,Promote meal customisation,Customers with mixed dietary preferences,Create a different combination each visit with flexible mix-and-match options. Watch the short menu feature and choose your next order.,TikTok
CAM363,Promote meal customisation,Customers with mixed dietary preferences,Make one menu work for different tastes by adjusting the meal to your preference. Check the current offer and plan your next meal.,Facebook
CAM364,Promote meal customisation,Customers with mixed dietary preferences,Choose what goes into your meal so the final order fits your appetite and routine. Open the menu to customise and place your order.,Website/App
CAM365,Promote meal customisation,Customers with mixed dietary preferences,"Build the meal your way by choosing the base, protein, toppings and sauce. Look for the offer at the counter or self-ordering kiosk.",In-store
CAM366,Promote meal customisation,Young adults who value variety,Create a different combination each visit with flexible mix-and-match options. See today's options in our latest post.,Instagram
CAM367,Promote meal customisation,Young adults who value variety,Make one menu work for different tastes by adjusting the meal to your preference. Watch the short menu feature and choose your next order.,TikTok
CAM368,Promote meal customisation,Young adults who value variety,Choose what goes into your meal so the final order fits your appetite and routine. Check the current offer and plan your next meal.,Facebook
CAM369,Promote meal customisation,Young adults who value variety,"Build the meal your way by choosing the base, protein, toppings and sauce. Open the menu to customise and place your order.",Website/App
CAM370,Promote meal customisation,Young adults who value variety,Create a different combination each visit with flexible mix-and-match options. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM371,Promote meal customisation,Families ordering for different tastes,Make one menu work for different tastes by adjusting the meal to your preference. See today's options in our latest post.,Instagram
CAM372,Promote meal customisation,Families ordering for different tastes,Choose what goes into your meal so the final order fits your appetite and routine. Watch the short menu feature and choose your next order.,TikTok
CAM373,Promote meal customisation,Families ordering for different tastes,"Build the meal your way by choosing the base, protein, toppings and sauce. Check the current offer and plan your next meal.",Facebook
CAM374,Promote meal customisation,Families ordering for different tastes,Create a different combination each visit with flexible mix-and-match options. Open the menu to customise and place your order.,Website/App
CAM375,Promote meal customisation,Families ordering for different tastes,Make one menu work for different tastes by adjusting the meal to your preference. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM376,Promote meal customisation,Regular customers who want different combinations,Choose what goes into your meal so the final order fits your appetite and routine. See today's options in our latest post.,Instagram
CAM377,Promote meal customisation,Regular customers who want different combinations,"Build the meal your way by choosing the base, protein, toppings and sauce. Watch the short menu feature and choose your next order.",TikTok
CAM378,Promote meal customisation,Regular customers who want different combinations,Create a different combination each visit with flexible mix-and-match options. Check the current offer and plan your next meal.,Facebook
CAM379,Promote meal customisation,Regular customers who want different combinations,Make one menu work for different tastes by adjusting the meal to your preference. Open the menu to customise and place your order.,Website/App
CAM380,Promote meal customisation,Regular customers who want different combinations,Choose what goes into your meal so the final order fits your appetite and routine. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM381,Promote new seasonal item,Existing customers interested in new menu items,Try a limited-time seasonal flavour before it leaves the menu. See today's options in our latest post.,Instagram
CAM382,Promote new seasonal item,Existing customers interested in new menu items,Discover a new short-run item created to add variety to your usual order. Watch the short menu feature and choose your next order.,TikTok
CAM383,Promote new seasonal item,Existing customers interested in new menu items,Switch up your regular meal with a seasonal choice available for a limited period. Check the current offer and plan your next meal.,Facebook
CAM384,Promote new seasonal item,Existing customers interested in new menu items,Taste the latest menu drop while the seasonal release is still available. Open the menu to customise and place your order.,Website/App
CAM385,Promote new seasonal item,Existing customers interested in new menu items,Try a limited-time seasonal flavour before it leaves the menu. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM386,Promote new seasonal item,Gen Z customers following food trends,Discover a new short-run item created to add variety to your usual order. See today's options in our latest post.,Instagram
CAM387,Promote new seasonal item,Gen Z customers following food trends,Switch up your regular meal with a seasonal choice available for a limited period. Watch the short menu feature and choose your next order.,TikTok
CAM388,Promote new seasonal item,Gen Z customers following food trends,Taste the latest menu drop while the seasonal release is still available. Check the current offer and plan your next meal.,Facebook
CAM389,Promote new seasonal item,Gen Z customers following food trends,Try a limited-time seasonal flavour before it leaves the menu. Open the menu to customise and place your order.,Website/App
CAM390,Promote new seasonal item,Gen Z customers following food trends,Discover a new short-run item created to add variety to your usual order. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM391,Promote new seasonal item,Local food explorers,Switch up your regular meal with a seasonal choice available for a limited period. See today's options in our latest post.,Instagram
CAM392,Promote new seasonal item,Local food explorers,Taste the latest menu drop while the seasonal release is still available. Watch the short menu feature and choose your next order.,TikTok
CAM393,Promote new seasonal item,Local food explorers,Try a limited-time seasonal flavour before it leaves the menu. Check the current offer and plan your next meal.,Facebook
CAM394,Promote new seasonal item,Local food explorers,Discover a new short-run item created to add variety to your usual order. Open the menu to customise and place your order.,Website/App
CAM395,Promote new seasonal item,Local food explorers,Switch up your regular meal with a seasonal choice available for a limited period. Look for the offer at the counter or self-ordering kiosk.,In-store
CAM396,Promote new seasonal item,Occasional customers looking for novelty,Taste the latest menu drop while the seasonal release is still available. See today's options in our latest post.,Instagram
CAM397,Promote new seasonal item,Occasional customers looking for novelty,Try a limited-time seasonal flavour before it leaves the menu. Watch the short menu feature and choose your next order.,TikTok
